NSC,CID,SMILES
8360,222439,CCN(CC)CCCC(C1=CC=C(C=C1)F)NC2=C3C=C(C=CC3=NC4=C2C=CC(=C4)Cl)OC
8552,13694,C1=CC=C2C(=C1)C=C(C3=CC=CC=C23)Cl
8643,135436514,CN(C)C1=CC2=C(C=C1)NC3=C(O2)C(=O)C(=O)C=C3C(=O)[NH3+].[Cl-]
8672,24181402,CCN=C1C=CC(=C(C2=CC=C(C=C2)N)C3=CC(=C(C=C3)N(CC)CC)C)C=C1.Cl
8673,54605107,CC1=CC(=C(C2=CC=C(C=C2)N(C)C)C3=CC=C(C=C3)[N+](C)(C)C)C=CC1=[N+](C)C.[Cl-]
8675,16955,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC=C(C=C3)N(CC)CC.[Cl-]
8704,3728,C1=CC2=C(C(=C(C=C2I)I)O)N=C1
8786,16682740,CCCC[Sn](CCCC)(OC(=O)C)OC(=O)C
8806,9927978,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl.Cl
8974,54609012,C1=CC(=CC=C1Br)[I+]C2=CC=C(C=C2)Br.I
8982,24181416,C1=CC=C(C=C1)[I+]C2=CC=CC=C2.C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-]
8985,54601177,CC1=CC=C(C=C1)[I+]C2=CC=C(C=C2)C.Br
8994,54602012,CC(C)(C)C1=CC=C(C=C1)[I+]C2=CC=C(C=C2)C(C)(C)C.Cl
8995,62331,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N=NC3=C(C=CC4=CC=CC=C43)O
9037,72722,C1=CC=C(C(=C1)C2=C3C=C(C(=O)C=C3OC4=CC(=C(C=C42)O)O)O)O
9168,5351474,CC(=CCC1C(O1)(C)C2C(C(CCC23CO3)OC(=O)C=CC=CC=CC=CC(=O)O)OC)C
9170,17649,COC1=C(C(=C2C(=C1)CCC(C3=CC(=O)C(=CC=C32)SC)N)OC)OC
9291,101929,C[N+](=C1C=CC2=NC3=C(C=CC4=CC=CC=C43)OC2=C1)C.[Cl-]
9358,81528,CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=N2
9403,75889,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C(=C3S2)[N+](=O)[O-].[Cl-]
9404,75442,CN(C)C1=CC2=[N+](C3=C(C=CC(=C3)N)N=C2C=C1)C4=CC=CC=C4.[Cl-]
9594,75442,CN(C)C1=CC2=[N+](C3=C(C=CC(=C3)N)N=C2C=C1)C4=CC=CC=C4.[Cl-]
