Sanger name	Sanger COSMIC ID	CCLE Label	CCLE name
NCI-H889	908456	NCIH889_LUNG	NCI-H889
SK-MEL-24	909725	SKMEL24_SKIN	SK-MEL-24
HT-1376	907066	HT1376_URINARY_TRACT	HT-1376
NCI-H2171	688015	NCIH2171_LUNG	NCI-H2171
PANC-10-05	925348	PANC1005_PANCREAS	Panc 10.05
EVSA-T	906862	EVSAT_BREAST	EVSA-T
CHL-1	910853	CHL1_SKIN	CHL-1
LK-2	687787	LK2_LUNG	LK-2
SK-MEL-3	909724	SKMEL3_SKIN	SK-MEL-3
AsPC-1	910702	ASPC1_PANCREAS	AsPC-1
NCI-H441	908460	NCIH441_LUNG	NCI-H441
NCI-H2030	722045	NCIH2030_LUNG	NCI-H2030
KMS-12-BM	753569	KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-12-BM
T98G	687586	T98G_CENTRAL_NERVOUS_SYSTEM	T98G
HL-60	905938	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HL-60
DBTRG-05MG	906835	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	DBTRG-05MG
MEL-JUSO	908125	MELJUSO_SKIN	MEL-JUSO
SW620	905962	SW620_LARGE_INTESTINE	SW620
HCT-116	905936	HCT116_LARGE_INTESTINE	HCT 116
VMRC-RCZ	909781	VMRCRCZ_KIDNEY	VMRC-RCZ
DU-145	905935	DU145_PROSTATE	DU 145
SK-MEL-2	905955	SKMEL2_SKIN	SK-MEL-2
A549	905949	A549_LUNG	A549
A172	687563	A172_CENTRAL_NERVOUS_SYSTEM	A172
NCI-H1975	924244	NCIH1975_LUNG	NCI-H1975
COLO-679	906818	COLO679_SKIN	COLO-679
MDA-MB-453	908122	MDAMB453_BREAST	MDA-MB-453
TYK-nu	909774	TYKNU_OVARY	TYK-nu
EFM-19	906851	EFM19_BREAST	EFM-19
MEL-HO	908124	MELHO_SKIN	MEL-HO
RL	910861	RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RL
G-361	906865	G361_SKIN	G-361
GMS-10	906873	GMS10_CENTRAL_NERVOUS_SYSTEM	GMS-10
KYSE-70	753576	KYSE70_OESOPHAGUS	KYSE-70
GAMG	906868	GAMG_CENTRAL_NERVOUS_SYSTEM	GAMG
NCI-H522	905944	NCIH522_LUNG	NCI-H522
COLO-741	906815	COLO741_SKIN	COLO 741
HD-MY-Z	907050	HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HD-MY-Z
NCI-H661	687829	NCIH661_LUNG	NCI-H661
LNCaP-Clone-FGC	907788	LNCAPCLONEFGC_PROSTATE	LNCaP clone FGC
LS-411N	907794	LS411N_LARGE_INTESTINE	LS411N
YKG-1	687592	YKG1_CENTRAL_NERVOUS_SYSTEM	YKG1
ESS-1	907000	ESS1_ENDOMETRIUM	ESS-1
U251	905983	U251MG_CENTRAL_NERVOUS_SYSTEM	U-251 MG
TE-11	946354	TE11_OESOPHAGUS	TE-11
KS-1	907313	KS1_CENTRAL_NERVOUS_SYSTEM	KS-1
TE-1	753621	TE1_OESOPHAGUS	TE-1
TE-5	735784	TE5_OESOPHAGUS	TE-5
NCI-H1155	908467	NCIH1155_LUNG	NCI-H1155
TE-15	753614	TE15_OESOPHAGUS	TE-15
ABC-1	906791	ABC1_LUNG	ABC-1
8-MG-BA	687562	8MGBA_CENTRAL_NERVOUS_SYSTEM	8-MG-BA
NCI-H1703	908474	NCIH1703_LUNG	NCI-H1703
AGS	906790	AGS_STOMACH	AGS
Detroit562	906837	DETROIT562_UPPER_AERODIGESTIVE_TRACT	Detroit 562
