"","PUBCHEM_ID"
"92423",260750
"92494",260780
"92495",260781
"92497",260783
"92498",260784
"92499",260785
"92504",260789
"92506",260791
"92510",260795
"92530",260801
"92585",3246339
"92618",93562
"92713",260901
"92835",260983
"92859",261004
"92909",261046
"92915",261051
"92937",261066
"92941",261069
"92954",NA
"92988",199500
"93033",261126
"93077",261155
"93131",72724
"93132",NA
"93134",417553
"93135",NA
"93287",5349234
"93301",261316
"93354",261360
"93355",261361
"93419",NA
"93427",NA
"93489",96917
"93674",NA
"93734",201553
"93737",NA
"93739",12447
"93819",3121
"93866",21144372
"93868",21144373
"93958",727420
"93967",261550
"94037",5140086
"94600",24360
"94703",261763
"94739",261792
"94743",5281315
"94783",261816
"94810",261838
"94820",261847
"94889",261859
"94945",72725
"95099",NA
"95170",262000
"95381",262088
"95382",NA
"95397",262093
"95434",262104
"95441",NA
"95448",500000
"95466",26328
"95570",NA
"95580",3616
"95609",262184
"95676",5351927
"95678",NA
"95779",262324
"96019",262500
"96349",NA
"96517",24189815
"96541",262649
"96641",200222
"96694",NA
"96704",262764
"96914",70068
"96932",NA
"96996",NA
"97338",NA
"97345",16683706
"97371",13956
"97372",207332
"97374",5717105
"97388",6712949
"97419",61253
"97845",6414726
"97882",NA
"97885",NA
"97960",135458781
"97967",NA
"98363",3003822
"98481",263806
"98535",NA
"98572",135509512
"98573",135400277
"98579",NA
"98580",NA
"98710",263983
"98828",264035
"98883",21144387
"98892",264064
"98904",5351215
"98905",264067
"98923",5380527
"98938",6284052
"99016",NA
"99027",264119
"99060",264143
"99087",264162
"99148",31510
"99282",54711001
"99296",NA
"99300",NA
"99303",74354
"99310",NA
"99445",NA
"99515",NA
"99543",5351940
"99671",3246362
"99676",3246363
"99733",5351216
"99843",NA
"100045",NA
"100046",NA
"100058",NA
"100071",3561
"100279",264884
"100290",NA
"100434",135500557
"100445",NA
"100723",443287
"100737",NA
"100770",24190089
"100777",5380575
"100844",NA
"100856",NA
"100880",NA
"101003",6267649
"101088",NA
"101319",9614290
"101489",5977454
"101490",6252761
"101492",265452
"101643",265521
"102004",418553
"102049",97142
"102051",97143
"102057",265724
"102064",265728
"102067",265730
"102068",265731
"102225",5715133
"102378",5380664
"102622",73419
"102627",NA
"102742",265940
"102809",NA
"102810",265952
"102811",NA
"102813",418587
"102814",265955
"102815",NA
"102816",NA
"102817",NA
"102866",NA
"103005",5320199
"103073",54601300
"103231",266121
"103336",26738
"103508",24190229
"103517",54606088
"103704",NA
"103752",6864590
"103755",NA
"103779",NA
"103832",9568401
"103870",266393
"104129",NA
"104133",5474909
"104795",NA
"104800",NA
"104801",NA
"104942",5380731
"104943",5281456
"104960",9562139
"105014",NA
"105023",6450217
"105024",NA
"105131",NA
"105132",266552
"105307",5705391
"105348",266625
"105444",266698
"105509",266737
"105546",NA
"105550",266770
"105808",266923
"105827",NA
"105900",266944
"106139",135509602
"106193",73421
"106246",1551121
"106360",267219
"106399",NA
"106408",5351221
"106442",267286
"106445",135509607
"106461",267294
"106486",NA
"106531",267343
"106553",NA
"106554",267361
"106557",NA
"106640",24190300
"106648",24190303
"106677",NA
"106723",135509615
"106859",5380900
"106907",267555
"106909",267557
"106969",5315773
"106995",NA
"107043",267581
"107067",NA
"107124",97226
"107129",267603
"107237",5380916
"107392",135453292
"107413",NA
"107432",NA
"107512",5369182
"107529",24040
"107658",NA
"107660",5458205
"107680",NA
"107818",54604080
"108018",268004
"108165",NA
"108225",97248
"108608",135451589
"109072",16683294
"109084",268715
"109128",268745
"109131",268748
"109154",6147837
"109155",268761
"109156",NA
"109188",3246385
"109229",NA
"109248",268806
"109254",268812
"109292",NA
"109351",NA
"109440",NA
"109451",268954
"109509",268993
"109555",NA
"109593",269048
"109724",NA
"109825",NA
"109834",NA
"109836",NA
"109838",NA
"109874",25429
"110101",269320
"110275",269325
"110363",NA
"110383",21144417
"110407",NA
"110602",NA
"110609",NA
"110630",135509648
"110800",98351
"111041",269624
"111062",NA
"111118",269665
"111119",269666
"111135",269678
"111180",NA
"111533",NA
"111556",NA
"111580",269887
"111581",3734796
"111650",269930
"111654",269934
"111702",269951
"112125",77258
"112147",270053
"112152",NA
"112166",NA
"112167",5281321
"112200",270077
"112257",NA
"112535",NA
"112751",270355
"112758",NA
"112796",270389
"112846",NA
"112849",6474733
"112929",NA
"112938",270495
"112960",6304618
"112965",5976008
"113053",6163542
"113112",270614
"113130",2795292
"113136",94304
"113220",270636
"113237",NA
"113423",64840
"113452",270723
"113455",270725
"113497",NA
"113764",270800
"113802",270811
"113908",270820
"113918",270832
"113926",135398735
"113943",NA
"113951",NA
"114016",270883
"114340",NA
"114341",135478684
"114345",151719
"114346",270973
"114381",271001
"114382",419381
"114384",419383
"114512",16683716
"114514",24190776
"114567",5458217
"114568",5458218
"114570",5917065
"114572",NA
"114575",28694
"114696",NA
"114766",271298
"114781",NA
"115447",67192
"115497",8237
"115526",271622
"115610",419515
"115618",271691
"115625",271694
"115684",NA
"115712",NA
