,HCC44_LUNG,OACP4C_OESOPHAGUS
GO:0019953,-0.59279,0.01968
GO:0019985,-0.52869,-0.15192
GO:0021510,-0.42045,-0.42045
GO:0021537,-0.48749,-0.52939
GO:0021545,0.36786,0.36786
GO:0021587,0.60763,0.60763
GO:0021695,0.45164,0.45164
GO:0021762,0.58325,0.58325
GO:0021766,-0.45314,-0.45314
GO:0021795,0.46045,0.46045
GO:0021872,0.64597,0.64597
GO:0021953,0.11178,0.2406
GO:0021955,0.3178,0.73726
GO:0021983,0.42203,0.42203
GO:0022011,0.462,0.56117
GO:0022037,-0.47537,-0.44996
GO:0022400,0.50903,-0.10508
GO:0022402,-0.48567,-0.43835
GO:0022408,-0.35767,-0.26396
GO:0022409,-0.41338,-0.56174
GO:0022411,-0.26128,-0.0074818
GO:0022412,-0.40066,-0.37859
GO:0022602,0.54922,0.54922
GO:0022603,0.30345,-0.21931
GO:0022604,-0.45174,-0.13778
GO:0022607,-0.14397,-0.14476
GO:0022617,0.43432,0.44126
GO:0022618,-0.3063,-1.3316
GO:0022898,-0.34305,-0.36158
GO:0022900,-0.47363,-0.37002
GO:0022904,0.53046,0.45183
GO:0023057,0.18579,0.34147
GO:0023058,0.63015,0.63015
GO:0023061,0.63979,0.29969
GO:0030001,-0.67225,-0.80941
GO:0030010,-0.46613,-0.45095
GO:0030031,0.49681,-0.22402
GO:0030036,0.2085,0.48349
GO:0030071,-0.27354,0.64952
GO:0030073,0.53149,0.51323
GO:0030097,-0.2864,0.020128
GO:0030098,0.56497,-0.065594
GO:0030099,0.43557,0.10861
GO:0030101,0.6695,0.6695
GO:0030104,-0.46303,-0.34317
GO:0030155,-0.89207,0.42107
GO:0030162,-0.24478,-0.55354
GO:0030163,-0.0090792,0.85212
GO:0030168,0.3626,-0.30777
GO:0030182,0.10489,0.15596
GO:0030183,-0.97916,-0.78149
GO:0030194,-0.74365,-0.66036
GO:0030195,-0.59341,-0.59341
GO:0030198,-0.34044,-0.33203
GO:0030212,-0.67009,-0.67009
GO:0030217,-0.78557,-1.0084
GO:0030218,0.43766,0.17614
GO:0030225,-0.54852,-0.54852
GO:0030258,0.51231,0.7476
GO:0030278,0.58433,1.0033
GO:0030282,-0.47268,-0.47268
GO:0030301,-0.56656,-0.35609
GO:0030307,0.63675,0.35262
GO:0030308,-0.45229,-0.35027
GO:0030316,0.4247,0.12232
GO:0030324,0.26121,1.1693
GO:0030334,-0.21509,-0.33674
GO:0030335,0.4957,-0.065718
GO:0030336,0.57817,1.0427
GO:0030449,-0.75304,-0.69927
GO:0030501,0.57056,-0.27318
GO:0030509,0.30252,0.35071
GO:0030512,0.68656,0.92027
GO:0030513,-0.55688,-0.43954
GO:0030514,-0.55222,0.4377
GO:0030521,0.4489,0.35359
GO:0030522,-0.55885,-0.54145
GO:0030534,0.30023,0.32872
GO:0030539,-0.50194,-0.50194
GO:0030574,0.37755,0.37755
GO:0030593,-0.48828,-0.48828
GO:0030595,0.51761,0.78297
GO:0030728,0.60639,0.60639
GO:0030832,0.49797,0.61071
GO:0030838,-0.44105,-0.44105
GO:0030850,-0.65761,-0.65761
GO:0030855,-0.50372,-0.47171
GO:0030856,0.30913,0.42593
GO:0030857,0.26234,0.26234
GO:0030865,0.84286,0.84286
GO:0030879,0.080197,-0.75769
GO:0030890,-0.45843,-0.5623
GO:0030900,0.0055313,-0.18199
